PB,batch,years,houses_exposed
0,0,2003,2939.0
0,0,2004,1804.0
0,0,2005,2215.0
0,0,2006,11365.0
0,0,2007,10482.0
0,0,2008,13552.0
0,0,2009,4243.0
0,0,2010,401.0
0,0,2011,1797.0
0,0,2012,12842.0
0,0,2013,7369.0
0,0,2014,3710.0
0,0,2015,8232.0
0,0,2016,4640.0
0,0,2017,8373.0
0,0,2018,6761.0
0,0,2019,9236.0
0,0,2020,5939.0
0,0,2021,7861.0
0,0,2022,12808.0
0,0,2023,1640.0
0,0,2024,1777.0
0,0,2025,7403.0
0,0,2026,3259.0
0,0,2027,6219.0
0,0,2028,8373.0
0,0,2029,5048.0
0,0,2030,1908.0
0,0,2031,2947.0
0,0,2032,8245.0
0,0,2033,10907.0
0,0,2034,3799.0
0,0,2035,3135.0
0,0,2036,1055.0
0,0,2037,754.0
0,0,2038,6356.0
0,0,2039,8514.0
0,0,2040,1735.0
0,0,2041,21366.0
0,0,2042,3779.0
0,0,2043,3289.0
0,0,2044,3089.0
0,0,2045,7042.0
0,0,2046,6045.0
0,0,2047,6687.0
0,0,2048,6308.0
0,0,2049,2106.0
0,0,2050,8910.0
0,0,2051,6860.0
0,0,2052,7498.0
0,0,2053,
0,0,2054,
0,0,2055,
0,0,2056,
0,0,2057,
0,0,2058,
0,0,2059,
0,0,2060,
0,0,2061,
0,0,2062,
0,0,2063,
0,0,2064,
0,0,2065,
0,0,2066,
0,0,2067,
0,0,2068,
0,0,2069,
0,0,2070,
0,0,2071,
0,0,2072,
0,0,2073,
0,0,2074,
0,0,2075,
0,0,2076,
0,0,2077,
0,0,2078,
0,0,2079,
0,0,2080,
0,0,2081,
0,0,2082,
0,0,2083,
0,0,2084,
0,0,2085,
0,0,2086,
0,0,2087,
0,0,2088,
0,0,2089,
0,0,2090,
0,0,2091,
0,0,2092,
0,0,2093,
0,0,2094,
0,0,2095,
0,0,2096,
0,0,2097,
0,0,2098,
0,0,2099,
0,0,2100,
0,0,2101,
0,0,2102,
0,0,2103,
0,0,2104,
0,0,2105,
0,0,2106,
0,0,2107,
0,0,2108,
0,0,2109,
0,0,2110,
0,0,2111,
0,0,2112,
0,0,2113,
0,0,2114,
0,0,2115,
0,0,2116,
0,0,2117,
0,0,2118,
0,0,2119,
0,0,2120,
0,0,2121,
0,0,2122,
0,0,2123,
0,0,2124,
0,0,2125,
0,0,2126,
0,0,2127,
0,0,2128,
0,0,2129,
0,0,2130,
0,0,2131,
0,0,2132,
0,0,2133,
0,0,2134,
0,0,2135,
0,0,2136,
0,0,2137,
0,0,2138,
0,0,2139,
0,0,2140,
0,0,2141,
0,0,2142,
0,0,2143,
0,0,2144,
0,0,2145,
0,0,2146,
0,0,2147,
0,0,2148,
0,0,2149,
0,0,2150,
0,0,2151,
0,1,2003,
0,1,2004,4340.0
0,1,2005,6734.0
0,1,2006,15891.0
0,1,2007,13962.0
0,1,2008,18535.0
0,1,2009,5555.0
0,1,2010,808.0
0,1,2011,1155.0
0,1,2012,7944.0
0,1,2013,14432.0
0,1,2014,5891.0
0,1,2015,8814.0
0,1,2016,6324.0
0,1,2017,3590.0
0,1,2018,3091.0
0,1,2019,7725.0
0,1,2020,2973.0
0,1,2021,10866.0
0,1,2022,5495.0
0,1,2023,9747.0
0,1,2024,5287.0
0,1,2025,2896.0
0,1,2026,11906.0
0,1,2027,2903.0
0,1,2028,3716.0
0,1,2029,4485.0
0,1,2030,2873.0
0,1,2031,5335.0
0,1,2032,9922.0
0,1,2033,5455.0
0,1,2034,19342.0
0,1,2035,2617.0
0,1,2036,1128.0
0,1,2037,1806.0
0,1,2038,9612.0
0,1,2039,10528.0
0,1,2040,3201.0
0,1,2041,6313.0
0,1,2042,3718.0
0,1,2043,2742.0
0,1,2044,3613.0
0,1,2045,6354.0
0,1,2046,7111.0
0,1,2047,6851.0
0,1,2048,3079.0
0,1,2049,603.0
0,1,2050,433.0
0,1,2051,7110.0
0,1,2052,4872.0
0,1,2053,3930.0
0,1,2054,
0,1,2055,
0,1,2056,
0,1,2057,
0,1,2058,
0,1,2059,
0,1,2060,
0,1,2061,
0,1,2062,
0,1,2063,
0,1,2064,
0,1,2065,
0,1,2066,
0,1,2067,
0,1,2068,
0,1,2069,
0,1,2070,
0,1,2071,
0,1,2072,
0,1,2073,
0,1,2074,
0,1,2075,
0,1,2076,
0,1,2077,
0,1,2078,
0,1,2079,
0,1,2080,
0,1,2081,
0,1,2082,
0,1,2083,
0,1,2084,
0,1,2085,
0,1,2086,
0,1,2087,
0,1,2088,
0,1,2089,
0,1,2090,
0,1,2091,
0,1,2092,
0,1,2093,
0,1,2094,
0,1,2095,
0,1,2096,
0,1,2097,
0,1,2098,
0,1,2099,
0,1,2100,
0,1,2101,
0,1,2102,
0,1,2103,
0,1,2104,
0,1,2105,
0,1,2106,
0,1,2107,
0,1,2108,
0,1,2109,
0,1,2110,
0,1,2111,
0,1,2112,
0,1,2113,
0,1,2114,
0,1,2115,
0,1,2116,
0,1,2117,
0,1,2118,
0,1,2119,
0,1,2120,
0,1,2121,
0,1,2122,
0,1,2123,
0,1,2124,
0,1,2125,
0,1,2126,
0,1,2127,
0,1,2128,
0,1,2129,
0,1,2130,
0,1,2131,
0,1,2132,
0,1,2133,
0,1,2134,
0,1,2135,
0,1,2136,
0,1,2137,
0,1,2138,
0,1,2139,
0,1,2140,
0,1,2141,
0,1,2142,
0,1,2143,
0,1,2144,
0,1,2145,
0,1,2146,
0,1,2147,
0,1,2148,
0,1,2149,
0,1,2150,
0,1,2151,
0,2,2003,
0,2,2004,
0,2,2005,5596.0
0,2,2006,12698.0
0,2,2007,9786.0
0,2,2008,5583.0
0,2,2009,4324.0
0,2,2010,505.0
0,2,2011,5359.0
0,2,2012,8497.0
0,2,2013,4584.0
0,2,2014,4607.0
0,2,2015,14439.0
0,2,2016,5221.0
0,2,2017,2639.0
0,2,2018,5109.0
0,2,2019,11792.0
0,2,2020,5778.0
0,2,2021,7691.0
0,2,2022,9486.0
0,2,2023,4545.0
0,2,2024,6281.0
0,2,2025,7062.0
0,2,2026,4910.0
0,2,2027,5817.0
0,2,2028,5796.0
0,2,2029,3243.0
0,2,2030,1694.0
0,2,2031,7195.0
0,2,2032,19232.0
0,2,2033,4986.0
0,2,2034,33889.0
0,2,2035,9022.0
0,2,2036,3494.0
0,2,2037,4385.0
0,2,2038,7514.0
0,2,2039,8660.0
0,2,2040,2391.0
0,2,2041,8360.0
0,2,2042,7380.0
0,2,2043,3408.0
0,2,2044,3882.0
0,2,2045,11369.0
0,2,2046,6370.0
0,2,2047,12165.0
0,2,2048,3011.0
0,2,2049,393.0
0,2,2050,1842.0
0,2,2051,11189.0
0,2,2052,3880.0
0,2,2053,3936.0
0,2,2054,10527.0
0,2,2055,
0,2,2056,
0,2,2057,
0,2,2058,
0,2,2059,
0,2,2060,
0,2,2061,
0,2,2062,
0,2,2063,
0,2,2064,
0,2,2065,
0,2,2066,
0,2,2067,
0,2,2068,
0,2,2069,
0,2,2070,
0,2,2071,
0,2,2072,
0,2,2073,
0,2,2074,
0,2,2075,
0,2,2076,
0,2,2077,
0,2,2078,
0,2,2079,
0,2,2080,
0,2,2081,
0,2,2082,
0,2,2083,
0,2,2084,
0,2,2085,
0,2,2086,
0,2,2087,
0,2,2088,
0,2,2089,
0,2,2090,
0,2,2091,
0,2,2092,
0,2,2093,
0,2,2094,
0,2,2095,
0,2,2096,
0,2,2097,
0,2,2098,
0,2,2099,
0,2,2100,
0,2,2101,
0,2,2102,
0,2,2103,
0,2,2104,
0,2,2105,
0,2,2106,
0,2,2107,
0,2,2108,
0,2,2109,
0,2,2110,
0,2,2111,
0,2,2112,
0,2,2113,
0,2,2114,
0,2,2115,
0,2,2116,
0,2,2117,
0,2,2118,
0,2,2119,
0,2,2120,
0,2,2121,
0,2,2122,
0,2,2123,
0,2,2124,
0,2,2125,
0,2,2126,
0,2,2127,
0,2,2128,
0,2,2129,
0,2,2130,
0,2,2131,
0,2,2132,
0,2,2133,
0,2,2134,
0,2,2135,
0,2,2136,
0,2,2137,
0,2,2138,
0,2,2139,
0,2,2140,
0,2,2141,
0,2,2142,
0,2,2143,
0,2,2144,
0,2,2145,
0,2,2146,
0,2,2147,
0,2,2148,
0,2,2149,
0,2,2150,
0,2,2151,
0,3,2003,
0,3,2004,
0,3,2005,
0,3,2006,15694.0
0,3,2007,16552.0
0,3,2008,12585.0
0,3,2009,5484.0
0,3,2010,4319.0
0,3,2011,3045.0
0,3,2012,2868.0
0,3,2013,7392.0
