PB,batch,years,houses_lost
0,0,2003,10.0
0,0,2004,17.0
0,0,2005,25.0
0,0,2006,182.0
0,0,2007,91.0
0,0,2008,131.0
0,0,2009,35.0
0,0,2010,0.0
0,0,2011,11.0
0,0,2012,114.0
0,0,2013,43.0
0,0,2014,6.0
0,0,2015,543.0
0,0,2016,7.0
0,0,2017,27.0
0,0,2018,52.0
0,0,2019,192.0
0,0,2020,62.0
0,0,2021,176.0
0,0,2022,122.0
0,0,2023,221.0
0,0,2024,3.0
0,0,2025,18.0
0,0,2026,43.0
0,0,2027,52.0
0,0,2028,34.0
0,0,2029,18.0
0,0,2030,2.0
0,0,2031,60.0
0,0,2032,138.0
0,0,2033,66.0
0,0,2034,86.0
0,0,2035,77.0
0,0,2036,2.0
0,0,2037,3.0
0,0,2038,44.0
0,0,2039,144.0
0,0,2040,24.0
0,0,2041,92.0
0,0,2042,11.0
0,0,2043,12.0
0,0,2044,77.0
0,0,2045,55.0
0,0,2046,84.0
0,0,2047,50.0
0,0,2048,41.0
0,0,2049,4.0
0,0,2050,3.0
0,0,2051,44.0
0,0,2052,49.0
0,0,2053,
0,0,2054,
0,0,2055,
0,0,2056,
0,0,2057,
0,0,2058,
0,0,2059,
0,0,2060,
0,0,2061,
0,0,2062,
0,0,2063,
0,0,2064,
0,0,2065,
0,0,2066,
0,0,2067,
0,0,2068,
0,0,2069,
0,0,2070,
0,0,2071,
0,0,2072,
0,0,2073,
0,0,2074,
0,0,2075,
0,0,2076,
0,0,2077,
0,0,2078,
0,0,2079,
0,0,2080,
0,0,2081,
0,0,2082,
0,0,2083,
0,0,2084,
0,0,2085,
0,0,2086,
0,0,2087,
0,0,2088,
0,0,2089,
0,0,2090,
0,0,2091,
0,0,2092,
0,0,2093,
0,0,2094,
0,0,2095,
0,0,2096,
0,0,2097,
0,0,2098,
0,0,2099,
0,0,2100,
0,0,2101,
0,0,2102,
0,0,2103,
0,0,2104,
0,0,2105,
0,0,2106,
0,0,2107,
0,0,2108,
0,0,2109,
0,0,2110,
0,0,2111,
0,0,2112,
0,0,2113,
0,0,2114,
0,0,2115,
0,0,2116,
0,0,2117,
0,0,2118,
0,0,2119,
0,0,2120,
0,0,2121,
0,0,2122,
0,0,2123,
0,0,2124,
0,0,2125,
0,0,2126,
0,0,2127,
0,0,2128,
0,0,2129,
0,0,2130,
0,0,2131,
0,0,2132,
0,0,2133,
0,0,2134,
0,0,2135,
0,0,2136,
0,0,2137,
0,0,2138,
0,0,2139,
0,0,2140,
0,0,2141,
0,0,2142,
0,0,2143,
0,0,2144,
0,0,2145,
0,0,2146,
0,0,2147,
0,0,2148,
0,0,2149,
0,0,2150,
0,0,2151,
0,1,2003,
0,1,2004,20.0
0,1,2005,57.0
0,1,2006,42.0
0,1,2007,119.0
0,1,2008,1112.0
0,1,2009,15.0
0,1,2010,2.0
0,1,2011,2.0
0,1,2012,115.0
0,1,2013,66.0
0,1,2014,48.0
0,1,2015,37.0
0,1,2016,63.0
0,1,2017,34.0
0,1,2018,12.0
0,1,2019,99.0
0,1,2020,133.0
0,1,2021,183.0
0,1,2022,14.0
0,1,2023,77.0
0,1,2024,27.0
0,1,2025,24.0
0,1,2026,269.0
0,1,2027,137.0
0,1,2028,114.0
0,1,2029,39.0
0,1,2030,10.0
0,1,2031,134.0
0,1,2032,101.0
0,1,2033,71.0
0,1,2034,959.0
0,1,2035,6.0
0,1,2036,2.0
0,1,2037,16.0
0,1,2038,32.0
0,1,2039,55.0
0,1,2040,6.0
0,1,2041,34.0
0,1,2042,141.0
0,1,2043,7.0
0,1,2044,21.0
0,1,2045,79.0
0,1,2046,53.0
0,1,2047,424.0
0,1,2048,21.0
0,1,2049,1.0
0,1,2050,3.0
0,1,2051,108.0
0,1,2052,37.0
0,1,2053,8.0
0,1,2054,
0,1,2055,
0,1,2056,
0,1,2057,
0,1,2058,
0,1,2059,
0,1,2060,
0,1,2061,
0,1,2062,
0,1,2063,
0,1,2064,
0,1,2065,
0,1,2066,
0,1,2067,
0,1,2068,
0,1,2069,
0,1,2070,
0,1,2071,
0,1,2072,
0,1,2073,
0,1,2074,
