PB,batch,years,people_exposed
0,0,2003,5399.0
0,0,2004,3398.0
0,0,2005,2773.0
0,0,2006,20719.0
0,0,2007,14621.0
0,0,2008,23238.0
0,0,2009,6804.0
0,0,2010,685.0
0,0,2011,3725.0
0,0,2012,25261.0
0,0,2013,14538.0
0,0,2014,6261.0
0,0,2015,13386.0
0,0,2016,9477.0
0,0,2017,16633.0
0,0,2018,10529.0
0,0,2019,14589.0
0,0,2020,10834.0
0,0,2021,14205.0
0,0,2022,19165.0
0,0,2023,3148.0
0,0,2024,3242.0
0,0,2025,15162.0
0,0,2026,6200.0
0,0,2027,6131.0
0,0,2028,15109.0
0,0,2029,9940.0
0,0,2030,4560.0
0,0,2031,5791.0
0,0,2032,11478.0
0,0,2033,18967.0
0,0,2034,6197.0
0,0,2035,3812.0
0,0,2036,1839.0
0,0,2037,1027.0
0,0,2038,9090.0
0,0,2039,14184.0
0,0,2040,3092.0
0,0,2041,36796.0
0,0,2042,6906.0
0,0,2043,5961.0
0,0,2044,5179.0
0,0,2045,10392.0
0,0,2046,11749.0
0,0,2047,12550.0
0,0,2048,5115.0
0,0,2049,4749.0
0,0,2050,13518.0
0,0,2051,9142.0
0,0,2052,10729.0
0,0,2053,
0,0,2054,
0,0,2055,
0,0,2056,
0,0,2057,
0,0,2058,
0,0,2059,
0,0,2060,
0,0,2061,
0,0,2062,
0,0,2063,
0,0,2064,
0,0,2065,
0,0,2066,
0,0,2067,
0,0,2068,
0,0,2069,
0,0,2070,
0,0,2071,
0,0,2072,
0,0,2073,
0,0,2074,
0,0,2075,
0,0,2076,
0,0,2077,
0,0,2078,
0,0,2079,
0,0,2080,
0,0,2081,
0,0,2082,
0,0,2083,
0,0,2084,
0,0,2085,
0,0,2086,
0,0,2087,
0,0,2088,
0,0,2089,
0,0,2090,
0,0,2091,
0,0,2092,
0,0,2093,
0,0,2094,
0,0,2095,
0,0,2096,
0,0,2097,
0,0,2098,
0,0,2099,
0,0,2100,
0,0,2101,
0,0,2102,
0,0,2103,
0,0,2104,
0,0,2105,
0,0,2106,
0,0,2107,
0,0,2108,
0,0,2109,
0,0,2110,
0,0,2111,
0,0,2112,
0,0,2113,
0,0,2114,
0,0,2115,
0,0,2116,
0,0,2117,
0,0,2118,
0,0,2119,
0,0,2120,
0,0,2121,
0,0,2122,
0,0,2123,
0,0,2124,
0,0,2125,
0,0,2126,
0,0,2127,
0,0,2128,
0,0,2129,
0,0,2130,
0,0,2131,
0,0,2132,
0,0,2133,
0,0,2134,
0,0,2135,
0,0,2136,
0,0,2137,
0,0,2138,
0,0,2139,
0,0,2140,
0,0,2141,
0,0,2142,
0,0,2143,
0,0,2144,
0,0,2145,
0,0,2146,
0,0,2147,
0,0,2148,
0,0,2149,
0,0,2150,
0,0,2151,
0,1,2003,
0,1,2004,4320.0
0,1,2005,11760.0
0,1,2006,28709.0
0,1,2007,18802.0
0,1,2008,33743.0
0,1,2009,10518.0
0,1,2010,1060.0
0,1,2011,2344.0
0,1,2012,13667.0
0,1,2013,24290.0
0,1,2014,10111.0
0,1,2015,13802.0
0,1,2016,11979.0
0,1,2017,5249.0
0,1,2018,6627.0
0,1,2019,14765.0
0,1,2020,4560.0
0,1,2021,15696.0
0,1,2022,10812.0
0,1,2023,18161.0
0,1,2024,5478.0
0,1,2025,5279.0
0,1,2026,23086.0
0,1,2027,5512.0
0,1,2028,5898.0
0,1,2029,7222.0
0,1,2030,4204.0
0,1,2031,10735.0
0,1,2032,17565.0
0,1,2033,9879.0
0,1,2034,28545.0
0,1,2035,4913.0
0,1,2036,1921.0
0,1,2037,2481.0
0,1,2038,18574.0
0,1,2039,17832.0
0,1,2040,5799.0
0,1,2041,10508.0
0,1,2042,6965.0
0,1,2043,6247.0
0,1,2044,4601.0
0,1,2045,10820.0
0,1,2046,14593.0
0,1,2047,11316.0
0,1,2048,6892.0
0,1,2049,1280.0
0,1,2050,834.0
0,1,2051,14180.0
0,1,2052,9451.0
0,1,2053,7045.0
0,1,2054,
0,1,2055,
0,1,2056,
0,1,2057,
0,1,2058,
0,1,2059,
0,1,2060,
0,1,2061,
0,1,2062,
0,1,2063,
0,1,2064,
0,1,2065,
0,1,2066,
0,1,2067,
0,1,2068,
0,1,2069,
0,1,2070,
0,1,2071,
0,1,2072,
0,1,2073,
0,1,2074,
0,1,2075,
0,1,2076,
0,1,2077,
0,1,2078,
0,1,2079,
0,1,2080,
0,1,2081,
0,1,2082,
0,1,2083,
0,1,2084,
0,1,2085,
0,1,2086,
0,1,2087,
0,1,2088,
0,1,2089,
0,1,2090,
0,1,2091,
0,1,2092,
0,1,2093,
0,1,2094,
0,1,2095,
