PB,batch,years,people_lost_harris_method
0,0,2003,0.0
0,0,2004,0.0
0,0,2005,0.0
0,0,2006,4.0
0,0,2007,1.0
0,0,2008,3.0
0,0,2009,0.0
0,0,2010,0.0
0,0,2011,0.0
0,0,2012,2.0
0,0,2013,1.0
0,0,2014,0.0
0,0,2015,20.0
0,0,2016,0.0
0,0,2017,0.0
0,0,2018,1.0
0,0,2019,4.0
0,0,2020,1.0
0,0,2021,4.0
0,0,2022,2.0
0,0,2023,8.0
0,0,2024,0.0
0,0,2025,0.0
0,0,2026,1.0
0,0,2027,1.0
0,0,2028,0.0
0,0,2029,0.0
0,0,2030,0.0
0,0,2031,1.0
0,0,2032,3.0
0,0,2033,1.0
0,0,2034,2.0
0,0,2035,1.0
0,0,2036,0.0
0,0,2037,0.0
0,0,2038,1.0
0,0,2039,3.0
0,0,2040,0.0
0,0,2041,1.0
0,0,2042,0.0
0,0,2043,0.0
0,0,2044,1.0
0,0,2045,1.0
0,0,2046,2.0
0,0,2047,1.0
0,0,2048,0.0
0,0,2049,0.0
0,0,2050,0.0
0,0,2051,1.0
0,0,2052,1.0
0,0,2053,
0,0,2054,
0,0,2055,
0,0,2056,
0,0,2057,
0,0,2058,
0,0,2059,
0,0,2060,
0,0,2061,
0,0,2062,
0,0,2063,
0,0,2064,
0,0,2065,
0,0,2066,
0,0,2067,
0,0,2068,
0,0,2069,
0,0,2070,
0,0,2071,
0,0,2072,
0,0,2073,
0,0,2074,
0,0,2075,
0,0,2076,
0,0,2077,
0,0,2078,
0,0,2079,
0,0,2080,
0,0,2081,
0,0,2082,
0,0,2083,
0,0,2084,
0,0,2085,
0,0,2086,
0,0,2087,
0,0,2088,
0,0,2089,
0,0,2090,
0,0,2091,
0,0,2092,
0,0,2093,
0,0,2094,
0,0,2095,
0,0,2096,
0,0,2097,
0,0,2098,
0,0,2099,
0,0,2100,
0,0,2101,
0,0,2102,
0,0,2103,
0,0,2104,
0,0,2105,
0,0,2106,
0,0,2107,
0,0,2108,
0,0,2109,
0,0,2110,
0,0,2111,
0,0,2112,
0,0,2113,
0,0,2114,
0,0,2115,
0,0,2116,
0,0,2117,
0,0,2118,
0,0,2119,
0,0,2120,
0,0,2121,
0,0,2122,
0,0,2123,
0,0,2124,
0,0,2125,
0,0,2126,
0,0,2127,
0,0,2128,
0,0,2129,
0,0,2130,
0,0,2131,
0,0,2132,
0,0,2133,
0,0,2134,
0,0,2135,
0,0,2136,
0,0,2137,
0,0,2138,
0,0,2139,
0,0,2140,
0,0,2141,
0,0,2142,
0,0,2143,
0,0,2144,
0,0,2145,
0,0,2146,
0,0,2147,
0,0,2148,
0,0,2149,
0,0,2150,
0,0,2151,
0,1,2003,
0,1,2004,0.0
0,1,2005,1.0
0,1,2006,1.0
0,1,2007,2.0
0,1,2008,50.0
0,1,2009,0.0
0,1,2010,0.0
0,1,2011,0.0
0,1,2012,2.0
0,1,2013,1.0
0,1,2014,1.0
0,1,2015,0.0
0,1,2016,1.0
0,1,2017,0.0
0,1,2018,0.0
0,1,2019,2.0
0,1,2020,3.0
0,1,2021,4.0
0,1,2022,0.0
0,1,2023,1.0
0,1,2024,0.0
0,1,2025,0.0
0,1,2026,8.0
0,1,2027,4.0
0,1,2028,2.0
0,1,2029,1.0
0,1,2030,0.0
0,1,2031,3.0
0,1,2032,2.0
0,1,2033,1.0
0,1,2034,37.0
0,1,2035,0.0
0,1,2036,0.0
0,1,2037,0.0
0,1,2038,0.0
0,1,2039,1.0
0,1,2040,0.0
0,1,2041,0.0
0,1,2042,4.0
0,1,2043,0.0
0,1,2044,0.0
0,1,2045,1.0
0,1,2046,1.0
0,1,2047,14.0
0,1,2048,0.0
0,1,2049,0.0
0,1,2050,0.0
0,1,2051,2.0
0,1,2052,1.0
0,1,2053,0.0
0,1,2054,
0,1,2055,
0,1,2056,
0,1,2057,
0,1,2058,
0,1,2059,
0,1,2060,
0,1,2061,
0,1,2062,
0,1,2063,
0,1,2064,
0,1,2065,
0,1,2066,
0,1,2067,
0,1,2068,
0,1,2069,
0,1,2070,
0,1,2071,
0,1,2072,
0,1,2073,
0,1,2074,
0,1,2075,
0,1,2076,
0,1,2077,
0,1,2078,
0,1,2079,
0,1,2080,
0,1,2081,
0,1,2082,
0,1,2083,
0,1,2084,
0,1,2085,
0,1,2086,
0,1,2087,
0,1,2088,
0,1,2089,
0,1,2090,
0,1,2091,
0,1,2092,
0,1,2093,
0,1,2094,
0,1,2095,
0,1,2096,
0,1,2097,
0,1,2098,
0,1,2099,
0,1,2100,
0,1,2101,
0,1,2102,
0,1,2103,
0,1,2104,
0,1,2105,
0,1,2106,
0,1,2107,
0,1,2108,
0,1,2109,
0,1,2110,
0,1,2111,
0,1,2112,
0,1,2113,
0,1,2114,
0,1,2115,
0,1,2116,
0,1,2117,
0,1,2118,
0,1,2119,
0,1,2120,
0,1,2121,
0,1,2122,
0,1,2123,
0,1,2124,
0,1,2125,
0,1,2126,
0,1,2127,
0,1,2128,
0,1,2129,
0,1,2130,
0,1,2131,
0,1,2132,
0,1,2133,
0,1,2134,
0,1,2135,
0,1,2136,
0,1,2137,
0,1,2138,
0,1,2139,
0,1,2140,
0,1,2141,
0,1,2142,
0,1,2143,
0,1,2144,
0,1,2145,
0,1,2146,
0,1,2147,
0,1,2148,
0,1,2149,
0,1,2150,
0,1,2151,
0,2,2003,
0,2,2004,
0,2,2005,2.0
0,2,2006,1.0
0,2,2007,0.0
0,2,2008,3.0
0,2,2009,2.0
